date,adj_close,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,macd,signal_line,rsi_14,bb_mid,bb_upper,bb_lower,daily_return_%
1997-09-15,4018.419921875,4018.419921875,4057.35009765625,3985.969970703125,3987.389892578125,0,4052.810034179688,4206.332197265625,4034.463558237389,4099.432165817866,-64.9686075804766,-71.33132603291882,42.39995019758024,4052.810034179688,4264.6448574829055,3840.975210876469,0.5625705290465133
1997-09-16,4012.590087890625,4012.590087890625,4035.389892578125,4000.840087890625,4026.02001953125,0,4037.3910278320313,4200.114799804687,4031.098408953272,4092.999419304737,-61.901010351465175,-69.4452628966281,42.681185538718935,4037.3910278320313,4207.903759370446,3866.8782962936166,-0.1450777693152272
1997-09-17,3928.330078125,3928.330078125,4013.679931640625,3914.580078125,4013.679931640625,0,4025.539025878906,4192.205004882812,4015.2878965181535,4080.8016903284606,-65.5137938103071,-68.6589690793639,46.7172158919325,4025.539025878906,4191.488006378521,3859.590045379292,-2.099890791733461
1997-09-18,3884.77001953125,3884.77001953125,3904.419921875,3844.489990234375,3904.419921875,0,4008.046032714844,4184.071401367188,3995.208223135553,4066.2808258249634,-71.07260268941036,-69.1416958013732,50.89250251748195,4008.046032714844,4153.711391895772,3862.380673533916,-1.1088696145040156
1997-09-19,3825.1201171875,3825.1201171875,3894.090087890625,3820.280029296875,3891.6298828125,0,3991.494030761719,4174.446000976563,3969.040822220468,4048.417069629596,-79.37624740912815,-71.1886061229242,37.62244243535926,3991.494030761719,4141.463927192212,3841.524134331225,-1.535480917630938
1997-09-22,3770.989990234375,3770.989990234375,3835.0400390625,3758.52001953125,3830.81005859375,0,3977.660034179688,4161.772001953125,3938.571463453377,4027.86691560032,-89.29545214694372,-74.8099753277281,33.002317819395515,3977.660034179688,4154.456568222818,3800.863500136557,-1.4151222783802542
1997-09-23,3822.419921875,3822.419921875,3823.2900390625,3763.3701171875,3772.590087890625,0,3963.419018554688,4150.652998046875,3920.701995518242,4012.648619768815,-91.94662425057322,-78.23730511229712,37.29675744693036,3963.419018554688,4142.141474541317,3784.696562568059,1.3638310304140644
1997-09-24,3825.909912109375,3825.909912109375,3864.25,3823.010009765625,3834.969970703125,0,3949.8365112304687,4140.731596679688,3906.118598070724,3998.816122905153,-92.6975248344288,-81.12934905672346,32.73537341545044,3949.8365112304687,4126.9171636429055,3772.755858818032,0.0913031614973025
1997-09-25,3887.56005859375,3887.56005859375,3888.510009765625,3835.800048828125,3835.800048828125,0,3946.057019042969,4133.982397460937,3903.263438151189,3990.57493295616,-87.31149480497106,-82.36577820637298,37.09329493777552,3946.057019042969,4125.156413308916,3766.957624777022,1.6113852103324833
1997-09-26,3925.239990234375,3925.239990234375,3927.77001953125,3883.8798828125,3895.97998046875,0,3948.5150146484375,4128.066796875,3906.6444461639862,3985.735307569361,-79.0908614053742,-81.71079484617323,35.094914112495786,3948.5150146484375,4124.899498066601,3772.130531230274,0.9692437177229118
1997-09-29,3912.830078125,3912.830078125,3964.030029296875,3908.840087890625,3918.050048828125,0,3946.9730224609375,4122.655,3907.596081850296,3980.334920203112,-72.73883835281595,-79.91640354750177,38.13512301455816,3946.9730224609375,4124.073614411187,3769.872430510688,-0.3161567736049142
1997-09-30,3902.030029296875,3902.030029296875,3918.419921875,3885.590087890625,3911.340087890625,0,3944.5730224609374,4116.8234033203125,3906.739766072847,3974.5345579137615,-67.79479184091497,-77.49208120618442,35.55648772322087,3944.5730224609374,4122.796578569617,3766.3494663522574,-0.2760163005417371
1997-10-01,3905.510009765625,3905.510009765625,3905.510009765625,3848.14990234375,3885.409912109375,0,3941.579028320312,4112.43740234375,3906.550572794813,3969.421628421306,-62.871055626494126,-74.56787609024637,38.756498883205445,3941.579028320312,4120.341185880037,3762.8168707605873,0.0891838464240901
